family,name,hex_srgb_reference,sri,reflectance,emittance,notes
Traditional,San Diego Buff,#8d7b69,,,,
Traditional,Taupe,#b18d73,,,,
Traditional,Burnt Sienna,#392d29,,,,
Traditional,Nutmeg,#d87941,,,,
Traditional,Terra Cotta,#89401d,,,,
Traditional,Bedrock,#6d4c3a,,,,
Traditional,Brick,#6a381f,,,,
Traditional,Brown Suede,#976445,,,,
Traditional,Sunset Blush,#ac6d5b,,,,
Traditional,Concrete Gray,#9e8e6a,,,,
Traditional,Marigold,#f1ac0e,,,,
Traditional,Pewter,#c0bdb8,,,,
Traditional,Sierra,#564332,,,,
Traditional,Hunter Green,#213430,,,,
Traditional,Black,#312b27,,,,
Traditional,Slate,#3e322c,,,,
Traditional,Granite,#39312e,,,,
Signature,Sandy Beige,#b9966b,,,,
Signature,Driftwood,#c2b7a5,,,,Sampled identical to Driftwood/Sage twin in chart scan — confirm against physical sample
Signature,Butterscotch,#da8453,,,,
Signature,Pumpkin Spice,#df743d,,,,
Signature,Chestnut Brown,#bd5e37,,,,
Signature,Mocha,#9a6a41,,,,
Signature,Mustard,#d0822b,,,,
Signature,Down To Earth,#987650,,,,
Signature,Paprika,#c5442a,,,,
Signature,Avocado,#90893e,,,,
Signature,Sea Foam,#8ea79a,,,,
Signature,Aqua,#8e9284,,,,
Signature,Sage,#c2b7a5,,,,Sampled identical to Driftwood/Sage twin in chart scan — confirm against physical sample
Signature,Truffle,#ab926a,,,,
Signature,Patriot Blue,#3f4a5c,,,,
Signature,Cobalt Blue,#4b4b51,,,,
Signature,Gun Metal,#9fa1a1,,,,
Signature,Merlot,#563538,,,,
Signature,Smokey Mauve,#88757d,,,,
Signature,Graphite,#6e685c,,,,
Solar-Reflective,SR Sandstone,#cdc4b4,36,0.32,0.94,
Solar-Reflective,SR Khaki,#d8c1a1,37,0.33,0.94,
Solar-Reflective,SR Irish Cream,#ebd3b9,50,0.43,0.94,
Solar-Reflective,SR White,#f9f6ec,73,0.6,0.94,Near-white — print with hairline keyline
Solar-Reflective,SR Fawn,#d9a77f,35,0.31,0.93,
Solar-Reflective,SR Sun Baked Clay,#fcab6d,52,0.44,0.95,
Solar-Reflective,SR Brownstone,#894a31,31,0.3,0.9,
Solar-Reflective,SR Terra Cotta,#964b28,33,0.31,0.92,
Solar-Reflective,SR Evergreen,#5a5a38,33,0.32,0.88,
Solar-Reflective,SR Safety Blue,#2673d3,33,0.3,0.93,
Solar-Reflective,SR Slate,#3d312b,34,0.31,0.91,
Cycle-Lane,CL Shamrock Green,#78c83c,,,,
Cycle-Lane,CL Celtic Green,#329c3d,,,,
Cycle-Lane,CL Emerald Green,#067c50,,,,
